id,r,g,b
1,244,242,245
2,238,235,233
3,250,249,247
4,253,251,230
5,253,246,230
6,254,247,229
7,250,240,239
8,243,234,229
9,244,241,234
10,251,252,244
11,252,248,237
12,254,246,225
13,255,249,225
14,255,249,225
15,241,231,195
16,238,226,173
17,224,210,147
18,242,226,151
19,235,214,159
20,235,217,133
21,227,198,103
22,225,193,108
23,223,193,123
24,222,184,119
25,199,164,100
26,188,151,99
27,156,107,67
28,142,88,62
29,121,77,48
30,100,49,22
31,101,48,32
32,96,40,33
33,87,50,41
34,64,32,21
35,49,37,41
36,27,26,46
